"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SH","600184","光电股份","","600184.SS","SH600184","sh","","C35专用设备制造业; avg20_amount=1362619588; last_amount=1191981338"
"SZ","301566","达利凯普","","301566.SZ","SZ301566","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1360384083; last_amount=840743283"
"SZ","301536","星宸科技","","301536.SZ","SZ301536","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1345152426; last_amount=1301239229"
"SZ","300322","硕贝德","","300322.SZ","SZ300322","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1325735833; last_amount=756793930"
"SZ","300265","通光线缆","","300265.SZ","SZ300265","sz","","C38电气机械和器材制造业; avg20_amount=1298182761; last_amount=873805067"
"SH","600360","华微电子","","600360.SS","SH600360","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=1291248119; last_amount=1822468054"
"SH","600345","长江通信","","600345.SS","SH600345","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=1281701587; last_amount=693866548"
"SH","600589","大位科技","","600589.SS","SH600589","sh","","I65软件和信息技术服务业; avg20_amount=1266061701; last_amount=1509579744"
"SZ","301313","凡拓数创","","301313.SZ","SZ301313","sz","","I65软件和信息技术服务业; avg20_amount=1265765215; last_amount=864425469"
"SZ","301389","隆扬电子","","301389.SZ","SZ301389","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1263130572; last_amount=776316330"
"SH","600410","华胜天成","","600410.SS","SH600410","sh","","I65软件和信息技术服务业; avg20_amount=1253528101; last_amount=1096743657"
"SZ","300303","聚飞光电","","300303.SZ","SZ300303","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1243695434; last_amount=1126287689"
"SZ","300720","海川智能","","300720.SZ","SZ300720","sz","","C40仪器仪表制造业; avg20_amount=1227757008; last_amount=2257064103"
"SZ","301458","钧崴电子","","301458.SZ","SZ301458","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1226025865; last_amount=673663395"
"SZ","300339","润和软件","","300339.SZ","SZ300339","sz","","I65软件和信息技术服务业; avg20_amount=1181584026; last_amount=1192332389"
"SZ","300738","奥飞数据","","300738.SZ","SZ300738","sz","","I65软件和信息技术服务业; avg20_amount=1167495554; last_amount=1266873828"
"SH","600545","卓郎智能","","600545.SS","SH600545","sh","","C35专用设备制造业; avg20_amount=1160417888; last_amount=1170782712"
"SH","600237","铜峰电子","","600237.SS","SH600237","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=1158929820; last_amount=966738068"
"SZ","300566","激智科技","","300566.SZ","SZ300566","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1148348071; last_amount=1255907616"
"SZ","300102","乾照光电","","300102.SZ","SZ300102","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1141823161; last_amount=1293679141"
"SZ","300496","中科创达","","300496.SZ","SZ300496","sz","","I65软件和信息技术服务业; avg20_amount=1126717858; last_amount=907469393"
"SZ","300480","光力科技","","300480.SZ","SZ300480","sz","","C35专用设备制造业; avg20_amount=1109206537; last_amount=1779396920"
"SZ","301362","民爆光电","","301362.SZ","SZ301362","sz","","C38电气机械和器材制造业; avg20_amount=1105925502; last_amount=709098688"
"SZ","300377","赢时胜","","300377.SZ","SZ300377","sz","","I65软件和信息技术服务业; avg20_amount=1093421707; last_amount=932895708"
"SZ","300454","深信服","","300454.SZ","SZ300454","sz","","I65软件和信息技术服务业; avg20_amount=1085050719; last_amount=1140286462"
"SZ","301021","英诺激光","","301021.SZ","SZ301021","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1082005896; last_amount=929888478"
"SZ","300709","精研科技","","300709.SZ","SZ300709","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1037561370; last_amount=769916900"
"SZ","301165","锐捷网络","","301165.SZ","SZ301165","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1028091635; last_amount=2731764490"
"SZ","300790","宇瞳光学","","300790.SZ","SZ300790","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1006765808; last_amount=831753186"
"SZ","300383","光环新网","","300383.SZ","SZ300383","sz","","I65软件和信息技术服务业; avg20_amount=997774672; last_amount=1224252365"
"SZ","300632","光莆股份","","300632.SZ","SZ300632","sz","","C38电气机械和器材制造业; avg20_amount=987596556; last_amount=587820739"
"SZ","300843","胜蓝股份","","300843.SZ","SZ300843","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=974158739; last_amount=1145805037"
"SZ","300613","富瀚微","","300613.SZ","SZ300613","sz","","I65软件和信息技术服务业; avg20_amount=966328428; last_amount=1232947545"
"SZ","301366","一博科技","","301366.SZ","SZ301366","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=960015585; last_amount=876286350"
"SH","600884","杉杉股份","","600884.SS","SH600884","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=953964340; last_amount=713293428"
"SZ","300684","中石科技","","300684.SZ","SZ300684","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=939925562; last_amount=1146390131"
"SH","600171","上海贝岭","","600171.SS","SH600171","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=938409371; last_amount=1185904528"
"SZ","301232","飞沃科技","","301232.SZ","SZ301232","sz","","C34通用设备制造业; avg20_amount=924381919; last_amount=1064945807"
"SZ","301682","宏明电子","","301682.SZ","SZ301682","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=921004218; last_amount=577071325"
"SH","600941","中国移动","","600941.SS","SH600941","sh","","I63电信、广播电视和卫星传输服务; avg20_amount=911981472; last_amount=945724251"
"SH","600699","均胜电子","","600699.SS","SH600699","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=909685684; last_amount=949435595"
"SZ","300065","海兰信","","300065.SZ","SZ300065","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=899676281; last_amount=1170445869"
"SZ","300031","宝通科技","","300031.SZ","SZ300031","sz","","I64互联网和相关服务; avg20_amount=888499456; last_amount=996782005"
"SZ","300292","吴通控股","","300292.SZ","SZ300292","sz","","I65软件和信息技术服务业; avg20_amount=868658377; last_amount=442455527"
"SZ","300170","汉得信息","","300170.SZ","SZ300170","sz","","I65软件和信息技术服务业; avg20_amount=856553570; last_amount=931513924"
"SZ","301629","矽电股份","","301629.SZ","SZ301629","sz","","C35专用设备制造业; avg20_amount=848345078; last_amount=897811745"
"SZ","300296","利亚德","","300296.SZ","SZ300296","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=837937265; last_amount=431989447"
"SZ","300327","中颖电子","","300327.SZ","SZ300327","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=836247649; last_amount=1188159940"
"SZ","300162","雷曼光电","","300162.SZ","SZ300162","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=817368321; last_amount=673123795"
"SZ","301421","波长光电","","301421.SZ","SZ301421","sz","","C40仪器仪表制造业; avg20_amount=815365333; last_amount=1196771720"
"SZ","300571","平治信息","","300571.SZ","SZ300571","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=799888995; last_amount=557894186"
"SZ","300353","东土科技","","300353.SZ","SZ300353","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=799729779; last_amount=823686205"
"SZ","300073","当升科技","","300073.SZ","SZ300073","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=797600862; last_amount=757836565"
"SZ","300739","明阳电路","","300739.SZ","SZ300739","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=796897332; last_amount=737378214"
"SZ","301630","同宇新材","","301630.SZ","SZ301630","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=769785560; last_amount=398107379"
"SZ","301626","苏州天脉","","301626.SZ","SZ301626","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=767728125; last_amount=836611497"
"SZ","301176","逸豪新材","","301176.SZ","SZ301176","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=764925885; last_amount=439885232"
"SZ","300959","线上线下","","300959.SZ","SZ300959","sz","","I65软件和信息技术服务业; avg20_amount=748353628; last_amount=465677100"
"SZ","300919","中伟新材","","300919.SZ","SZ300919","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=747770698; last_amount=571960990"
"SZ","300852","四会富仕","","300852.SZ","SZ300852","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=745907748; last_amount=1429009713"
"SZ","300687","赛意信息","","300687.SZ","SZ300687","sz","","I65软件和信息技术服务业; avg20_amount=745866255; last_amount=803790182"
"SH","600570","恒生电子","","600570.SS","SH600570","sh","","I65软件和信息技术服务业; avg20_amount=739781724; last_amount=828826990"
"SZ","300846","首都在线","","300846.SZ","SZ300846","sz","","I65软件和信息技术服务业; avg20_amount=731193300; last_amount=578373020"
"SH","600363","联创光电","","600363.SS","SH600363","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=728411066; last_amount=1292178767"
"SZ","300474","景嘉微","","300474.SZ","SZ300474","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=722268135; last_amount=1250374745"
"SZ","300222","科大智能","","300222.SZ","SZ300222","sz","","C34通用设备制造业; avg20_amount=718422706; last_amount=551569396"
"SZ","300964","本川智能","","300964.SZ","SZ300964","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=690558179; last_amount=899319516"
"SZ","300120","经纬辉开","","300120.SZ","SZ300120","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=682970185; last_amount=560759721"
